,Unnamed: 0,title,date,author,result,id
512,597,Infection with HPV virus will definitely cause cervical cancer,2018/4/13,True team,FALSE,https://vp.fact.qq.com/article?id=03a753d089ee18e4c83398d595e627c4
489,511,"Hepatitis A virus outbreak in Donggang District, Rizhao City",2020/3/1,Cloudless,FALSE,https://vp.fact.qq.com/article?id=0e2cfbd48ab56f646e3ba6abcb18bd14
870,1080,Boiled eggs rolled on the body can detoxify the poison,2017/5/13,Cloudless,FALSE,https://vp.fact.qq.com/article?id=cac9c341b1308011fd3eb4729bdca08d
491,576,Grapefruit containing virus causing death sbitch5,2019/12/4,Hu Yuandong,FALSE,https://vp.fact.qq.com/article?id=9567e47d18a3d2764a76c9c138a74e3c
492,577,Oral products containing Agaricus Blazei may clear HPV virus,2019/11/7,Baoding Cyber ​​Police Inspection and Law Enforcement,FALSE,https://vp.fact.qq.com/article?id=b70e9a756937881bdcbfa32db727cfbd
869,1079,1 roasted chicken leg toxicity is equal to 50 cigarettes,2017/4/25,Zhu Guangsi,FALSE,https://vp.fact.qq.com/article?id=a508a2c94df61b7f7a6004f9c36a0bb4
868,1078,"The tape that binds vegetables is toxic, and its formaldehyde is 10 times higher than the standard.",2017/3/14,Liu Ziqi,FALSE,https://vp.fact.qq.com/article?id=e71ad0a27361a0d705f392c4c25fe4ea
495,580,Many people died of swine virus infection in Hebei,2019/3/2,Hu Yan,FALSE,https://vp.fact.qq.com/article?id=c9e7263d5aa2137394c08b7c25b63cd7
867,1077,U.S. 1.5 billion lottery winners die of lewd drug use,2016/1/19,Zhang Puyao,FALSE,https://vp.fact.qq.com/article?id=3682022cadc41746822c1466a67e7b33
866,1076,"Angry, anxious, and nervous can cause breast milk to be toxic",2017/8/2,Ding Yang,FALSE,https://vp.fact.qq.com/article?id=b69abebc34332e119b41e7db0f8fb955
864,1074,"Watermelon with ""swelling agent"" eats toxic",2017/7/25,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=d3b08975a3e7317b929de7d6ce222e16
863,1073,Farmer woman rages snake,2017/8/15,,FALSE,https://vp.fact.qq.com/article?id=dfef413708314e1f25fae52b5f705695
