,title,date,author,result,id
0,Tom Hanks announces he and his wife are infected with the new crown virus,2020/3/12,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=8c74a7f0c6ae24309ce95ca1ba8c9f7b
1,NBA official confirms suspension of 2019-2020 season,2020/3/12,True team,TRUE,https://vp.fact.qq.com/article?id=3828ce6a6810424a7459e3d7a34e686b
2,"Wearing a mask can blow out the flame of a candle lighter, indicating that the mask is unqualified",2020/3/12,"Associate Professor, Engineering Center of Technical Textiles, Donghua University",FALSE,https://vp.fact.qq.com/article?id=67784e960078dee372e4237aef8b6a02
3,"A qualified mask will attract a large amount of paper scraps, otherwise it is an unqualified mask",2020/3/11,Huang Chen,FALSE,https://vp.fact.qq.com/article?id=c6d68f67dae93c6f0f57b0dd086d91bf
4,New coronavirus is the same as hepatitis B virus,2020/3/11,"PhD in Pathogenic Biology, Popular Science Author",FALSE,https://vp.fact.qq.com/article?id=a480afa5ed7fd86cb729c8649f8918f4
5,"New crown pneumonia cannot be contacted for 1-2 years after cure, normal people will be infected by contact",2020/3/11,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=2bbb0f484661c1fcb53fdbb33aa8884f
6,The test kit donated by China to Japan was forcibly intercepted by the United States and has been used up,2020/3/11,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=2faeea3b2f972f7faf5f7d78dd1473ee
7,"Lippi: China is strong when it comes to doing one thing, except for football",2020/3/11,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=0e1559338158cef4b4b01ffccd5b6836
8,Government Notice: Nanyang City Completely Restores Production and Living Order from March 11,2020/3/11,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=a070c6562b159b58e061a9d0038bef89
9,Antiviral acyclovir can effectively prevent new coronary pneumonia,2020/3/10,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=9f03ec5832826e5cfed332d3c74b3986
10,Kindergartens in elementary and secondary schools in Henan Province will start on March 14,2020/3/10,Official Account of Henan Provincial Department of Education,FALSE,https://vp.fact.qq.com/article?id=79a8b3b757780a5d1ffe79b66bd2616b
11,Starting from March 16,2020/3/10,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=6a47c670b6ab24928c299e8db1761cd5
12,Wuhan Tianhe Airport resumes date,2020/3/10,Hosted by Hubei Daily Media Group,FALSE,https://vp.fact.qq.com/article?id=b11b3f4dbd4e62b9f8567d23ccf70f3b
13,New coronavirus can remain in the body for several weeks but the infection is weak,2020/3/10,Postdoctoral Fellow in Cambridge University Virology,suspect,https://vp.fact.qq.com/article?id=66dd25b6e728dbac5f6f1db7f2a6a8d0
14,Wu Haoyun died during the quarantine of Xinjia Hotel in Quanzhou and did not escape hunting,2020/3/10,Communist Youth League Central Organ,FALSE,https://vp.fact.qq.com/article?id=95f1658b260220b2bb71e309e91d5860
15,New crown virus in breast milk of patients with new crown pneumonia,2020/3/10,Communist Party of Beijing Municipal Committee,suspect,https://vp.fact.qq.com/article?id=cb5729d8137b7be1fb331a4cb084f341
16,China bans export of medical masks,2020/3/10,International Newspapers hosted by People's Daily,FALSE,https://vp.fact.qq.com/article?id=dee14722395727cfcbbf9e1f06282707
17,Chinese Embassy in South Korea suspends processing of Chinese passports in March,2020/3/10,Comprehensive Large City Daily,FALSE,https://vp.fact.qq.com/article?id=0ea42cf742ac9b68de153d6db1d768a1
18,Zhong Nanshan's latest forecast: people's physical fitness will decline after five years,2020/3/9,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=0e3e1682719d3fef6758e70d311bc4f4
19,"City government: residents' travel was normalized on March 16th, and buses were normal on the 17th",2020/3/9,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=1cd69b09eeaab60f94b958ad8ad892c0
20,Shanghai Hongkou Football Stadium becomes a centralized isolation point,2020/3/9,Comprehensive newspapers for the general public directly led by the Shanghai Municipal Committee of the CPC,FALSE,https://vp.fact.qq.com/article?id=422add152d4487cd5863a4eb0ae9cd5d
21,"Shanghai Ganghui Hanglong Plaza was sealed, a case was confirmed, Italian!",2020/3/8,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=870fa9958f168af17d5fc1cd85aaac73
22,Sinus washing daily with soap can reduce the risk of contracting pneumonia,2020/3/8,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=ecbe8f4ec01424ae23abd228af20ea57
23,Zeng Haiji of the Third Hospital of Beijing Medical University: None of the 320 patients with new crown pneumonia died from Chinese medicine treatment,2020/3/8,Peking University Third Hospital,FALSE,https://vp.fact.qq.com/article?id=031798d8dea924fb75ce5aa820865c83
twenty four,Li Yuehua and his wife were invited by South Korea to fight the epidemic,2020/3/8,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=9562434683fc5d564368ebe59d7098d4
25,The government has notified Jingzhou that it will unblock and resume work on March 10.,2020/3/8,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=4af8ebdaa4cffa55ec115432808b7766
26,Cannot eat fruits from Hubei,2020/3/8,Communist Party of Beijing Municipal Committee,FALSE,https://vp.fact.qq.com/article?id=685165d01e3ae1f8fe7a66b1eb054b45
27,New crown virus disappears on its own in summer,2020/3/7,Professional fact verification platform under Tencent News,suspect,https://vp.fact.qq.com/article?id=1469a8620635c913d4c18abbcfe1e9de
28,"Disinfectants with ""chlorine"" in their name are chlorine-containing disinfectants",2020/3/7,Lin thin cat,suspect,https://vp.fact.qq.com/article?id=0b751e48b70bc43fc514e4b45f48ab97
29,52-year-old male doctor in Shanghai supporting Wuhan dies of new crown pneumonia,2020/3/7,Xinmin Evening News,FALSE,https://vp.fact.qq.com/article?id=7e273dd971359d839ed2d81a9037210a
30,Ministry of Education confirms extension of college entrance examination this year until June 26,2020/3/6,New Media Platform of Chengdu Media Group,FALSE,https://vp.fact.qq.com/article?id=244d0457c08a5605678d9be39639d743
31,86 people in Italy sequestered in brothel for 14 days for new crown pneumonia,2020/3/6,More authentic international issuer,FALSE,https://vp.fact.qq.com/article?id=0cb05ef269e315f93565bbf34d227a3f
32,Pet dogs spread new coronavirus,2020/3/5,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=548ff03f85bb4b5bac41dcfb505dc60a
33,"Tencent classroom texts students who violate discipline, demands fine",2020/3/5,The official account of Tencent Technology under Tencent News,FALSE,https://vp.fact.qq.com/article?id=32d412060441401225852fc8b32ef382
34,Zhong Nanshan conquered Europe in the near future to guide other countries in fighting the epidemic,2020/3/5,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=0df08f08067367a7c86c17a369f943e4
35,Granite prevents new crown pneumonia infection,2020/3/5,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=b4f351fe60349663cd007eec87c87762
36,Italian patient zero is infected after going to Hawaii for vacation,2020/3/5,More authentic,FALSE,https://vp.fact.qq.com/article?id=95fa3791f47b858f42e6944a40eb3504
37,Japanese manufacturer launches integrated protective helmet,2020/3/4,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=591ab6480a150d77fcee10341dc7796f
38,An Gong Niuhuang Pill can prevent new coronary pneumonia,2020/3/4,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=d35e4ef9945bcc305d1aa098d09add7f
39,Antihypertensive drugs can aggravate the condition of hypertensive patients who have been infected with neocoronavirus,2020/3/4,"Chief Physician, Department of Nephrology, Tianjin Teda Hospital",FALSE,https://vp.fact.qq.com/article?id=818ae5593119268e0e387a2468a89c9b
40,Antihypertensive drugs increase the risk of viral infection in hypertensive patients,2020/3/4,"Chief Physician, Department of Nephrology, Tianjin Teda Hospital",suspect,https://vp.fact.qq.com/article?id=bb8c574be94cf16fdbd4fc79a7d0236a
41,New crown pneumonia vaccine developed with tobacco,2020/3/4,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",suspect,https://vp.fact.qq.com/article?id=585e6ceed3988777967962f83b12080c
42,"Chinese woman receives green card after donating 200,000 masks to the U.S.",2020/3/3,Yi Xiaojing,FALSE,https://vp.fact.qq.com/article?id=fed618beeb9c28dca873e0255530b3e1
43,"During the epidemic, you can increase your resistance through intense exercise",2020/3/3,Xu Jianfang,FALSE,https://vp.fact.qq.com/article?id=7f23f924340d5af95ff73587f749765f
44,16 South Korean nurses resign collectively due to new crown pneumonia epidemic,2020/3/3,Central-level news unit co-sponsored by People's Daily and Global Times,FALSE,https://vp.fact.qq.com/article?id=d2f5d0b141a7510f6b270a4a2b088c8f
45,Artemisinin can treat new coronavirus pneumonia,2020/3/2,"Master of Pharmacology, PhD in Pediatrics",suspect,https://vp.fact.qq.com/article?id=5cec35b94bfdcf6395f318d6debcc36b
46,Ronaldo may be infected with new crown virus and sent to hospital,2020/3/2,Reporter of Tencent Sports in Madrid,FALSE,https://vp.fact.qq.com/article?id=6618b998c5e2e7e922a9d7c45fa5ec84
47,"You can judge the front and back of the mask by the direction of the fold, the nose clip or the ear strap",2020/3/2,Huang Chen,suspect,https://vp.fact.qq.com/article?id=197f71b4ab65e1418a60ba4df5c42e40
48,"Villagers in Huanggang, Hubei mistakenly take chlorine dioxide disinfection tablets",2020/3/2,Professional fact verification platform under Tencent News,TRUE,https://vp.fact.qq.com/article?id=7bf8bf25a07220ad74d4888acde8389d
49,Li Yuehua's acupoint injection of phenol therapy is effective for the treatment of new coronary pneumonia,2020/3/2,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=8658ac436dabd86be6605e47e7bff3c0
50,Juventus club in Italy infected with new crown virus,2020/3/2,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=9e2f0228d0076a3b74c62a703bb8fb32
51,A testament to the new crown of pneumonia from the female doctor of Wuhan University,2020/3/2,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=cfae6a9122075344ab222f33cd5cea2e
52,"Melt-blown cloth burns smokeless and coke, so you can distinguish between true and false masks",2020/3/1,Huang Chen,FALSE,https://vp.fact.qq.com/article?id=d98f5376b42c1680cd80494924d60b74
53,A large number of overseas Chinese charter flights returned to Anhui for refuge,2020/3/1,"Guangming Daily official website, central key news website",FALSE,https://vp.fact.qq.com/article?id=ce08c71904bf7a81aad8b287bbeca198
54,"Henan province officially announces list of epidemic levels in cities, counties and districts",2020/3/1,Comprehensive Urban Life Daily hosted by Henan Daily Group,FALSE,https://vp.fact.qq.com/article?id=720d65aea37eaaa9185b5da771b68009
55,Hunan Yiyang Yiwu University student infected grandpa and contacted 790 people,2020/3/1,Changsha Municipal Party Committee,FALSE,https://vp.fact.qq.com/article?id=3b81e60796e0d34587a808404c2affb7
56,"Wumart employees have group fever, involving 7 stores in Beijing",2020/3/1,Communist Youth League Beijing Municipal Party Committee,FALSE,https://vp.fact.qq.com/article?id=ad4e32344375efbf9730a547398854cc
57,"Taiwan experts: According to a paper, the source of the new crown virus is the United States",2020/2/29,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",FALSE,https://vp.fact.qq.com/article?id=6a3d82d9f069f900e427ac039eaf1f72
58,It can be determined that the US virus is 5 strains and 2 strains in China. Iran and the United States are the same,2020/2/29,"PhD in Pathogenic Biology, Popular Science Author",FALSE,https://vp.fact.qq.com/article?id=e408d4223ea43a944aedc607eba766bf
59,"New Coronavirus Home Edition kit is launched, which can be tested by taking blood at your fingertips",2020/2/29,Communist Party of Beijing Municipal Committee,FALSE,https://vp.fact.qq.com/article?id=13a34f532be8a1a2a27e1c1f976b7daf
60,"Iranian vice president confirmed new pneumonia, government officials visit without masks",2020/2/29,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=8b6eb1d786d8f4bac1f0178aa53330be
61,U.S. e-cigarette pneumonia is caused by a new coronavirus,2020/2/29,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",FALSE,https://vp.fact.qq.com/article?id=a1de7b42dd760550c6224990e767db9a
62,"Koreans arrived in Chengdu by air, and only released their body temperature without isolation",2020/2/29,Sichuan Internet Reporting Center,FALSE,https://vp.fact.qq.com/article?id=9581610f27ccebdf5ad60cdb618d4be0
63,"Due to severe epidemic situation, Harbin was closed",2020/2/29,"Hosted by China Central Radio and Television Station, it is a central news website featuring video.",FALSE,https://vp.fact.qq.com/article?id=2655bb38b49e2e59423af788240d4114
64,"Video: 30,000 sheep donated by Mongolia to China are entering Erlianhot",2020/2/28,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=4b0a4ecdd21a6d8471f536823b4e95be
65,Chicken shit can prevent new coronavirus,2020/2/28,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=0aa8aa3dbfe13009b2ed2fe79e4f56a2
66,"Switch to sputum suction for first aid, halving death toll in Wuhan in one day",2020/2/28,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=94b8cf922a288b17fc4dd975ac96a444
67,Dogs can be infected with new coronavirus,2020/2/28,"PhD in Pathogenic Biology, Popular Science Author",suspect,https://vp.fact.qq.com/article?id=85d257ee6034b658f41fd3df905a67f6
68,Jackie Chan is isolated with new coronavirus pneumonia,2020/2/28,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=fffc3f3d9b364eea5bee25dada26f941
69,U.S. Centers for Disease Control confirms that the source of the new crown virus is the United States,2020/2/28,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=d2a12637868a03f24bd56048bb2013a5
70,Changsha school postponed to resume on April 20,2020/2/27,Changsha Municipal Party Committee,FALSE,https://vp.fact.qq.com/article?id=cb45076a3ad82dd02b2a4c15fa7dc650
71,Drinking tea can effectively prevent new coronavirus pneumonia,2020/2/27,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=d434697e0454d6be0e3a0ea5118b035c
72,Kumu injection is effective for the treatment of new coronary pneumonia,2020/2/27,Professional medical science popularization platform under Tencent,suspect,https://vp.fact.qq.com/article?id=2f0a97946f42aa3c00552d4dd04de892
73,Oranges cannot be peeled and eaten during the epidemic,2020/2/27,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=69e83a828253065074420421965740f5
74,Henan Fangzhongshan Hu spicy soup restaurant ordered to close,2020/2/27,Zhengzhou Daily official account,FALSE,https://vp.fact.qq.com/article?id=49e07bc8a8e8066a5999269c10e21eea
75,Hubei Tianmen dumps donated radishes from other provinces into garbage stations,2020/2/26,Southern Metropolis Daily,FALSE,https://vp.fact.qq.com/article?id=62187dcac437ae20404d66e35549d1cb
