,title,date,author,result,id
0,汤姆·汉克斯宣布他和妻子感染新冠病毒,2020-03-12,腾讯新闻旗下专业事实查证平台,真,https://vp.fact.qq.com/article?id=8c74a7f0c6ae24309ce95ca1ba8c9f7b
1,NBA官方确认暂停2019-2020赛季,2020-03-12,较真团队,真,https://vp.fact.qq.com/article?id=3828ce6a6810424a7459e3d7a34e686b
2,戴口罩可以吹灭蜡烛打火机火苗，说明口罩不合格,2020-03-12,东华大学产业用纺织品教育部工程中心副教授,假,https://vp.fact.qq.com/article?id=67784e960078dee372e4237aef8b6a02
3,合格的口罩会吸附大量纸屑，反之就是不合格的口罩,2020-03-11,黄晨,假,https://vp.fact.qq.com/article?id=c6d68f67dae93c6f0f57b0dd086d91bf
4,新型冠状病毒和乙肝病毒一样,2020-03-11,病原生物学博士，科普作者,假,https://vp.fact.qq.com/article?id=a480afa5ed7fd86cb729c8649f8918f4
5,新冠肺炎治愈1-2年不能接触，正常人接触会被传染,2020-03-11,药理学硕士，知贝儿科药师,假,https://vp.fact.qq.com/article?id=2bbb0f484661c1fcb53fdbb33aa8884f
6,中国捐助日本的检测试剂盒被美国强行拦截，已经用完,2020-03-11,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=2faeea3b2f972f7faf5f7d78dd1473ee
7,里皮：中国下决心做一件事时执行力很强，除了足球,2020-03-11,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=0e1559338158cef4b4b01ffccd5b6836
8,政府通告：3月11日起南阳市全面恢复生产生活秩序,2020-03-11,腾讯新闻旗下专业事实查证平台,真,https://vp.fact.qq.com/article?id=a070c6562b159b58e061a9d0038bef89
9,抗病毒药阿昔洛韦能有效预防新冠肺炎,2020-03-10,药理学硕士，知贝儿科药师,假,https://vp.fact.qq.com/article?id=9f03ec5832826e5cfed332d3c74b3986
10,河南省中小学幼儿园3月14日起陆续开学,2020-03-10,河南省教育厅官方账号,假,https://vp.fact.qq.com/article?id=79a8b3b757780a5d1ffe79b66bd2616b
11,3月16日起天津恢复尾号限行,2020-03-10,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=6a47c670b6ab24928c299e8db1761cd5
12,武汉天河机场复航日期已确定,2020-03-10,湖北日报传媒集团主办,假,https://vp.fact.qq.com/article?id=b11b3f4dbd4e62b9f8567d23ccf70f3b
13, 新冠病毒能在康复者体内存留数周但传染力变弱,2020-03-10,剑桥大学病毒学博士后,疑,https://vp.fact.qq.com/article?id=66dd25b6e728dbac5f6f1db7f2a6a8d0
14,吴好运于泉州欣佳宾馆隔离期间死亡，没躲过追杀,2020-03-10,共青团中央机关报,假,https://vp.fact.qq.com/article?id=95f1658b260220b2bb71e309e91d5860
15,新冠肺炎患者的母乳中有新冠病毒,2020-03-10,中共北京市委机关报,疑,https://vp.fact.qq.com/article?id=cb5729d8137b7be1fb331a4cb084f341
16,中国禁止医用口罩出口,2020-03-10,人民日报社主办的国际新闻报纸,假,https://vp.fact.qq.com/article?id=dee14722395727cfcbbf9e1f06282707
17,中国驻韩国使馆3月份暂停办理中国护照,2020-03-10,综合类大型城市日报,假,https://vp.fact.qq.com/article?id=0ea42cf742ac9b68de153d6db1d768a1
18,钟南山最新预测：五年后人民体质下降，养生现在做起,2020-03-09,腾讯新闻旗下专业事实查证平台,疑,https://vp.fact.qq.com/article?id=0e3e1682719d3fef6758e70d311bc4f4
19,市政府：3月16日居民出行正常化，17日公交正常,2020-03-09,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=1cd69b09eeaab60f94b958ad8ad892c0
20,上海虹口足球场成为集中隔离点,2020-03-09,中共上海市委直接领导的面向广大市民的综合性报纸,假,https://vp.fact.qq.com/article?id=422add152d4487cd5863a4eb0ae9cd5d
21,上海港汇恒隆广场被封，确诊一例，意大利人！,2020-03-08,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=870fa9958f168af17d5fc1cd85aaac73
22,每天用肥皂洗鼻窦可以降低感染肺炎风险,2020-03-08,药理学硕士，知贝儿科药师,假,https://vp.fact.qq.com/article?id=ecbe8f4ec01424ae23abd228af20ea57
23,北医三院曾海基：中医治疗新冠肺炎320例无一死亡,2020-03-08,北京大学第三医院,假,https://vp.fact.qq.com/article?id=031798d8dea924fb75ce5aa820865c83
24,李跃华夫妇受韩国邀请前往抗疫，代表国家出征邻国,2020-03-08,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=9562434683fc5d564368ebe59d7098d4
25,政府已通告荆州将于3月10号解封复工,2020-03-08,腾讯新闻旗下专业事实查证平台,假,https://vp.fact.qq.com/article?id=4af8ebdaa4cffa55ec115432808b7766
26,湖北产地的水果不能吃,2020-03-08,中共北京市委机关报,假,https://vp.fact.qq.com/article?id=685165d01e3ae1f8fe7a66b1eb054b45
27,新冠病毒会在夏季自行消失,2020-03-07,腾讯新闻旗下专业事实查证平台,疑,https://vp.fact.qq.com/article?id=1469a8620635c913d4c18abbcfe1e9de
28,名字里带“氯”的消毒剂就是含氯消毒剂,2020-03-07,林瘦猫,疑,https://vp.fact.qq.com/article?id=0b751e48b70bc43fc514e4b45f48ab97
