,tag
0,"['Tom Hanks', 'New Coronavirus']"
1,"['New Coronavirus', 'NBA']"
2,"['Mask', 'Candle']"
3,"['Mask', 'Suck confetti']"
4,"['Hepatitis B', 'New Coronavirus']"
5,"['New Coronavirus', 'Contact Transmission']"
6,"['New Coronavirus', 'Detection Kit']"
7,"['Rippi', 'China']"
8,"['Rework', 'Nanyang']"
9,"['New Coronavirus', 'Acyclovir']"
10,"['New Coronavirus', 'Henan']"
11,"['Tianjin', 'Tail number limit line']"
12,"['Wuhan', 'Tianhe Airport']"
13,"['New Coronavirus', 'Nucleic Acid Detection']"
14,"['New Coronavirus', 'Quanzhou']"
15,"['New Coronavirus', 'Contact Transmission']"
16,"['New Coronavirus', 'Export Restrictions']"
17,"['New Coronavirus', 'Korea']"
18,"['Zhong Nanshan', 'Health'"
19,"['go out', 'Bus']"
20,"['New Coronavirus', 'Shanghai']"
21,"['New Coronavirus', 'Shanghai']"
22,"['New Coronavirus', 'Disease Prevention']"
23,"['New Coronavirus', 'Peking University Third Hospital']"
24,"['Li Yuehua', 'New Coronavirus']"
25,"['New Coronavirus', 'Traffic Control']"
26,"['New Coronavirus', 'Hubei']"
27,"['New Coronavirus', 'WHO']"
28,"['Chlorine-containing disinfectant', 'Hypochlorous acid']"
29,"['New Coronavirus Pneumonia', 'Shanghai']"
30,"['Gaokao', 'deferred']"
31,"['Italy', 'Spain']"
32,"['Pet Dog', 'New Coronavirus']"
33,"['Tencent Class', 'Scam SMS']"
34,"['Zhong Nanshan', 'New Coronavirus']"
35,"['New Coronavirus', 'Granite']"
36,"['Italy', 'Patient Zero']"
37,"['New Coronavirus', 'Japan']"
38,"['An Gong Niu Huang Wan', 'New Coronavirus']"
39,"['Antihypertensive drugs', 'New coronavirus']"
40,"['Antihypertensive drugs', 'New coronavirus']"
41,"['New Crown Pneumonia', 'Vaccine']"
42,"['Ningbo', 'mask']"
43,"['Exercise', 'resistance']"
44,"['Korea', 'New Coronavirus']"
45,"['Artemisinin', 'New Coronavirus']"
46,"['C luo', 'New Crown Virus']"
47,"['Mask', 'front and back']"
48,"['Hubei Huanggang', 'Disinfecting tablets']"
49,"['Acupuncture', 'New Coronavirus']"
50,"['New Coronavirus', 'Juventus']"
51,"['Wuhan University', 'Female Doctor']"
52,"['Mask', 'meltblown cloth']"
53,"['Huaqiao', 'New Coronavirus']"
54,"['Henan', 'New Coronavirus']"
55,"['Yiyang', 'New Coronavirus']"
56,"['Wumei', 'new coronavirus']"
57,"['New Coronavirus', 'United States']"
58,"['Strain', 'United States']"
59,"['New Coronavirus', 'Test Box']"
60,"['Iran', 'New Coronavirus Pneumonia']"
61,"['New Coronavirus', 'Electronic Cigarette']"
62,"['Korea', 'Chengdu']"
63,"['New Coronavirus', 'Harbin']"
64,"['Mongolia', 'Sheep']"
65,"['Chicken Pit Vine', 'New Crown Pneumonia']"
66,"['Ventilator', 'Sputum suction machine']"
67,"['New Coronavirus', 'Infection']"
68,"['Jackie Chan', 'New Crown Pneumonia']"
69,"['American Centers for Disease Control', 'New Coronavirus']"
70,"['Changsha', 'New Coronavirus']"
71,"['Tea', 'New Coronavirus']"
72,"['Kumu injection', 'traditional chinese medicine preparation']"
73,"['Orange', 'new coronavirus']"
74,"['Zhong Nanshan', 'Hu spicy soup']"
75,"['Tianmen', 'Carrot']"
76,"['The Great Hall of the People', 'WHO']"
77,"['Korea', 'Qingdao']"
78,"['Shandong Tea', 'New Coronavirus']"
79,"['Onion', 'New Coronavirus']"
80,"['Village People', 'Vaccination Manual']"
81,"['Sterilization card', 'sterilization card']"
82,"['New Crown Pneumonia', 'Shenzhen Metro']"
83,"['New Coronavirus', 'Low Molecular Heparin']"
84,"['Tianjin University', 'Golden Sea']"
85,"['Beijing', 'Fangcai Hospital']"
86,"['Wuhan', 'New Coronavirus Pneumonia']"
87,"['Slovak Prime Minister', 'Peter Pellegrini']"
88,"['Wuhan', 'Pneumonia epidemic']"
89,"['USA', 'Outbreak']"
90,"['General Administration of Sport', 'Sports competition']"
91,"['Wenzhou', 'New Coronavirus']"
92,"['New Coronavirus', 'Shi Zhengli']"
93,"['Photocatalytic equipment', 'New coronavirus']"
94,"['New Coronavirus', 'N95 Mask']"
95,"['Sweat', 'body fluid']"
96,"['USA', 'flu']"
97,"['Wuhan', 'New Coronavirus']"
98,"['Beijing', 'New Coronavirus Pneumonia']"
99,"['New Coronavirus', 'South China Seafood Market']"
100,"['Jingdong', 'Logistics Driver']"
101,"['Jiangxi', 'Hurry up']"
102,"['Guangzhou', 'tap water']"
103,"['Wuhan', 'Group purchase']"
104,"['Wuhan', 'New Coronavirus']"
105,"['Group Buy', 'Fresh']"
106,"['Wuhan Central Hospital', 'New Coronavirus Pneumonia']"
107,"['Mask', 'mask gasket']"
108,"['Vegetarian', 'New Coronavirus']"
109,"['Pneumonia epidemic', 'National level response']"
110,"['New Coronavirus', 'Russia']"
111,"['Chen Guosheng', 'God Prophecy']"
112,"['Vulcan Hill Hospital', 'Salary']"
113,"['New Coronavirus', 'Nucleic Acid Detection']"
114,"['New Crown Pneumonia', 'American Flu']"
115,"['Thesis check', 'Free for a limited time']"
116,"['Infrared thermometer', 'Vision']"
117,"['Shampoo', 'new coronavirus']"
118,"['Metro Ticket', 'New Coronavirus']"
119,"['New Coronavirus', 'Pneumonia']"
120,"['New Coronavirus', 'Skin']"
121,"['New Coronavirus', 'Pneumonia']"
122,"['New Crown Pneumonia Patient', 'Fart']"
123,"['New Crown Virus', 'Pneumonia']"
124,"['New Coronavirus', 'Oxytetracycline']"
125,"['Zhong Nanshan', 'New Coronavirus Pneumonia']"
126,"['Wuhan', 'Fireworks']"
127,"['New Coronavirus', 'Jiangsu Province']"
128,"['Wildlife', 'new coronavirus']"
129,"['Zhong Nanshan', 'Lin Zhengbin']"
130,"['Shenzhen', 'School']"
131,"['WHO', 'New Coronavirus']"
132,"['Patient Zero', 'New Coronavirus']"
133,"['Tap water', 'chlorine']"
134,"['New Coronavirus', 'Bee']"
135,"['Health Gold', 'Mask']"
136,"['New Coronavirus', 'Vegetables']"
137,"['Beijing', 'School']"
138,"['WHO', 'New Coronavirus']"
139,"['New Coronavirus', 'Kidney']"
140,['']
141,"['Wenzhou', 'Virus mutation']"
142,"['Zhonglou', 'New Coronavirus']"
143,"['Hair peach root', 'New coronavirus']"
144,"['Cash', 'sanitize']"
